id,category,article,version,description,trigger_words,weight,download_url,url
sd15_0082,clothes,vn_long_dress_white,v10,,,0.6,,https://civitai.com/models/16766/ao-dai-vietnamese-long-dress
sd15_0083,clothes,vn_long_dress_renovated,v10,,aodai,1,,https://civitai.com/models/103256
sd15_0084,clothes,vn_long_dress_cyber,v10,,futureaodai/Mechanical part/Mecha,0.5-0.75,,https://civitai.com/models/127025?modelVersionId=138946
sd15_0085,clothes,vn_wedding_dress,v10,,aodaicuoi/{color},0.6-0.8,,https://civitai.com/models/117092
sd15_0086,clothes,vn_nhat_binh_lah,v20,,Nhat Binh/nhat binh clothes/headwear/hat,,,https://civitai.com/models/89220
sd15_0087,clothes,vn_nhat_binh_tq,v10,,nhatbinh,,,https://civitai.com/models/117260
sd15_0088,clothes,vn_nhat_binh_portrait,v10,,nhatbinh/round hat/short hair,,,https://civitai.com/models/87252
sd15_0089,clothes,vn_suon_xam,v40,,suonxam,,,https://civitai.com/models/114147
sd15_0090,clothes,vn_4_piece_dress,v10,,tu_than/wearing tu_than,0.7-0.8,,https://civitai.com/models/91094/vietnamesetuthan-four-piece-dress
sd15_0091,clothes,vn_5_piece_dress,v10,,ao_tac/wearing ao_tac,0.6-0.7,,https://civitai.com/models/88836/vietnameseaotac-five-piece-dress
sd15_0092,clothes,vn_modern_dress,v20,,girl02,,,https://civitai.com/models/144295?modelVersionId=160342
sd15_0093,clothes,rococo_francais,v10,,rococo costume/rococo style,0.3,,https://civitai.com/models/130399/rococo2m
sd15_0094,clothes,diamond_dress,v20,,diamondv2,0.65,,https://civitai.com/models/103665/lah-diamond-dress-or-asian-woman-dress
sd15_0095,design,logo_with_suzumehachi,v10,,logoarchive/black and white logo,,,https://civitai.com/models/34739
sd15_0096,design,logo_with_dreamshaper,v10,,coloredic0n icon,0.6-0.9,,https://civitai.com/models/60132
sd15_0097,design,mascot_2d,v10,,,0.6-0.8,,https://civitai.com/models/69353
sd15_0098,design,mascot_yuruchara,v10,,yuruchara,0.8-1.0,,https://civitai.com/models/158121?modelVersionId=177681
sd15_0099,design,illustration,v10,,icon,,,https://civitai.com/models/43622/icon01
sd15_0100,design,game_icon,v10,,icon,0.4-1.0,,https://civitai.com/models/159412/game-icon-institute2d
sd15_0101,effect,add_details,v10,,,0.5-1.0,,https://civitai.com/models/82098/add-more-details-detail-enhancer-tweaker-lora
sd15_0102,effect,detail_tweaker,v10,"positive prompt to add details, negative prompt to remove / reduce details",,-2.0-2.0,,https://civitai.com/models/58390/detail-tweaker-lora-lora
sd15_0103,effect,disintegration_by_thanos,v10,,DisintegrationEffect,0.7-1.3,,https://civitai.com/models/96285
sd15_0104,effect,motion_trail,v10,,"motiontrail, motion trail/running",0.6-1.0,,https://civitai.com/models/95680?modelVersionId=102161
sd15_0105,effect,landscape_in_glass_ring,v10,,Ring,0.7-0.9,,https://civitai.com/models/124398?modelVersionId=135832
sd15_0106,effect,landscape_in_wine_glass,v10,,Wine glass,0.7-0.9,,https://civitai.com/models/127252/wine-glass-art-or-concept-glass
sd15_0107,effect,laser_glow,v10,,"game icon institute, game icon",0.4-1.0,,https://civitai.com/models/90636/gameiconresearchlaserlora
sd15_0108,skin,smoke_or_cloud,v10,,Smoky,"0.3-0.7(landscape),0.6-0.9(realistic characters),0.9-1.3(anime characters)",,https://civitai.com/models/113371?modelVersionId=122466
sd15_0109,skin,aura_skill_buff,v10,,"guangquan\(skill icon\),aura,glowing",0.7-1.0,,https://civitai.com/models/86741/game-iconskillbuff
sd15_0110,skin,magical_circle,v11,,Circle/magical circle/mantra/glowing,0.6-1.1,,https://civitai.com/models/105512
sd15_0111,skin,dragon_hug,v10,,DragonCute/dragon hug/dragon/animal hug,0.7-0.8,,https://civitai.com/models/109804/dragoncute
sd15_0112,skin,dragon_scales_and_spikes,v20,,Dr490nSc4leAI,,,https://civitai.com/models/55543
sd15_0113,skin,dragon_ball_super_saiyan_hair,v10,,"SuperSaiyan/blonde hair, super saiyan, spiked hair, aura, electricity/long hair",0.3-1.0,,https://civitai.com/models/80196/dragon-ball-super-saiyan-1-and-3-or-hairstyle-concept-lora
sd15_0114,skin,dragon_ball_turtle_uniform,v10,,"TurtleSchoolUniform/dougi, belt, orange pants, blue footwear",,,https://civitai.com/models/79775?modelVersionId=84601
sd15_0115,skin,dragon_ball_ki_charge,v20,,Ki Charge/aura/fighting stance/({color} aura),,,https://civitai.com/models/79197/dragon-ball-ki-charge-aura-or-concept-lora
sd15_0116,skin,dragon_ball_kamehameha,v10,,"kamehameha/{charging,shoot,beam}/casual wear, look at viewer, energy ball, electricity, aura, {dougi, spike hair, wristband:-1}",0.3-0.5,,https://civitai.com/models/94553
sd15_0117,skin,diamond_suit,,,DiamonAI,,,https://civitai.com/models/62984
sd15_0118,skin,barbiecore,v10,,BarbieCore/shiny pink plastic/pastel/pink and white,0.4-1.3,,https://civitai.com/models/129667/barbiecore-barbify-anything
sd15_0119,skin,salt_bae_fi,v10,,"SaltBaeMeme/salt, sunglases",0.8-1.0,,https://civitai.com/models/106212
sd15_0120,skin,salt_bae_ui,v10,,saltbae,0.8-1.0,,https://civitai.com/models/73116
sd15_0121,skin,reaction_surprise,v20,,hands on head/myhonest reaction,0.9-1.0,,https://civitai.com/models/90291
sd15_0122,skin,sunglasses_deal_with_it,v10,,DealWithIt,0.5-1.0,,https://civitai.com/models/86447
sd15_0123,skin,glowing_eyes,v10,,"Glowing Eyes Meme/glowing eyes, glowing, epic",0.6-1.0,,https://civitai.com/models/78921?modelVersionId=83724
sd15_0124,skin,insane_eyes,v10,,GoingInsane/close-up,0.7-1.0,,https://civitai.com/models/93263/going-insane-or-concept-lora
sd15_0125,skin,googly_eyes,v10,,googlyeyes,,,https://civitai.com/models/85366?modelVersionId=90744
sd15_0126,skin,orgasming_face,v20,,"edgOrgasm,face focus/woman with edgOrgasm_face",,,https://civitai.com/models/106844/orgasming-face-by-edg
sd15_0127,skin,skin_tone,v10,,,,,https://civitai.com/models/112594/skin-tone-slider-lora
sd15_0128,skin,nude_front,v14,,,0.3-1.0,,https://civitai.com/models/9025?modelVersionId=23250
sd15_0129,skin,math_formulas,v10,,"MathLadyMeme/text, english text",0.8-1.0,,https://civitai.com/models/112351?modelVersionId=121283
sd15_0130,skin,low_poly,v10,,lowpoly style,,,https://civitai.com/models/65215
sd15_0131,skin,low_poly_animal,v10,,,,,https://civitai.com/models/119699
